ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Predicted Deaths (yhat),Lower Bound (yhat_lower),Upper Bound (yhat_upper)
2020-03-30,40623.572696651274,36510.97625177474,42524.447495429755,40623.572696651274,40623.572696651274,-905.3214847583597,-905.3214847583597,-905.3214847583597,-905.3214847583597,-905.3214847583597,-905.3214847583597,0.0,0.0,0.0,39718.251211892915,39718,36510,42524
2020-03-31,45675.621450853054,42136.44986163154,48071.920712207604,45675.621450853054,45675.621450853054,-728.2893533222694,-728.2893533222694,-728.2893533222694,-728.2893533222694,-728.2893533222694,-728.2893533222694,0.0,0.0,0.0,44947.33209753079,44947,42136,48071
2020-04-01,50727.67020505483,47507.86095431596,53692.52983950579,50727.67020505483,50727.67020505483,-191.3747991068215,-191.3747991068215,-191.3747991068215,-191.3747991068215,-191.3747991068215,-191.3747991068215,0.0,0.0,0.0,50536.295405948,50536,47507,53692
2020-04-02,55779.71895925667,53358.91431609344,59157.925584489974,55779.71895925667,55779.71895925667,388.5869411496898,388.5869411496898,388.5869411496898,388.5869411496898,388.5869411496898,388.5869411496898,0.0,0.0,0.0,56168.30590040636,56168,53358,59157
2020-04-03,60831.76771345837,58954.93541944125,64778.05190261248,60831.76771345837,60831.76771345837,874.8016233770047,874.8016233770047,874.8016233770047,874.8016233770047,874.8016233770047,874.8016233770047,0.0,0.0,0.0,61706.569336835375,61706,58954,64778
2020-04-04,67454.50665553183,65290.71600458368,71067.45242937228,67454.50665553183,67454.50665553183,727.2987974323459,727.2987974323459,727.2987974323459,727.2987974323459,727.2987974323459,727.2987974323459,0.0,0.0,0.0,68181.80545296418,68181,65290,71067
2020-04-05,74077.2455976053,71083.6350555509,77092.75463728422,74077.2455976053,74077.2455976053,-165.7017247697468,-165.7017247697468,-165.7017247697468,-165.7017247697468,-165.7017247697468,-165.7017247697468,0.0,0.0,0.0,73911.54387283555,73911,71083,77092
2020-04-06,80699.98453967877,76833.89511156578,82702.1958829984,80699.98453967877,80699.98453967877,-905.3214847585648,-905.3214847585648,-905.3214847585648,-905.3214847585648,-905.3214847585648,-905.3214847585648,0.0,0.0,0.0,79794.66305492021,79794,76833,82702
2020-04-07,87322.72348175223,83459.46537961758,89656.32709578535,87322.72348175223,87322.72348175223,-728.2893533219315,-728.2893533219315,-728.2893533219315,-728.2893533219315,-728.2893533219315,-728.2893533219315,0.0,0.0,0.0,86594.4341284303,86594,83459,89656
2020-04-08,93945.46242382562,90570.94635217944,96781.56193972749,93945.46242382562,93945.46242382562,-191.37479910645862,-191.37479910645862,-191.37479910645862,-191.37479910645862,-191.37479910645862,-191.37479910645862,0.0,0.0,0.0,93754.08762471916,93754,90570,96781
2020-04-09,100735.67620237175,98189.80616954667,104054.46764023977,100735.67620237175,100735.67620237175,388.5869411500897,388.5869411500897,388.5869411500897,388.5869411500897,388.5869411500897,388.5869411500897,0.0,0.0,0.0,101124.26314352184,101124,98189,104054
2020-04-10,107525.88998091796,105482.81153066392,111532.15824080996,107525.88998091796,107525.88998091796,874.8016233771444,874.8016233771444,874.8016233771444,874.8016233771444,874.8016233771444,874.8016233771444,0.0,0.0,0.0,108400.6916042951,108400,105482,111532
2020-04-11,114316.1037594641,112110.03144979574,118054.01798025024,114316.1037594641,114316.1037594641,727.2987974319567,727.2987974319567,727.2987974319567,727.2987974319567,727.2987974319567,727.2987974319567,0.0,0.0,0.0,115043.40255689605,115043,112110,118054
2020-04-12,121106.31753801029,118049.50005297741,124007.98207658014,121106.31753801029,121106.31753801029,-165.70172477048757,-165.70172477048757,-165.70172477048757,-165.70172477048757,-165.70172477048757,-165.70172477048757,0.0,0.0,0.0,120940.6158132398,120940,118049,124007
2020-04-13,127896.53131655643,124182.23679211843,130016.34009996122,127896.53131655643,127896.53131655643,-905.3214847587697,-905.3214847587697,-905.3214847587697,-905.3214847587697,-905.3214847587697,-905.3214847587697,0.0,0.0,0.0,126991.20983179766,126991,124182,130016
2020-04-14,134686.7450951027,131179.15823880967,137120.39009371036,134686.7450951027,134686.7450951027,-728.2893533215931,-728.2893533215931,-728.2893533215931,-728.2893533215931,-728.2893533215931,-728.2893533215931,0.0,0.0,0.0,133958.4557417811,133958,131179,137120
2020-04-15,141476.95886875293,138412.76237907313,144283.54538453836,141476.95886875293,141476.95886875293,-191.37479910601982,-191.37479910601982,-191.37479910601982,-191.37479910601982,-191.37479910601982,-191.37479910601982,0.0,0.0,0.0,141285.58406964692,141285,138412,144283
2020-04-16,148267.17264240317,145722.3877591608,151559.15170696797,148267.17264240317,148267.17264240317,388.58694114816853,388.58694114816853,388.58694114816853,388.58694114816853,388.58694114816853,388.58694114816853,0.0,0.0,0.0,148655.75958355132,148655,145722,151559
2020-04-17,155057.38641605346,153087.2518555701,158833.69162227373,155057.38641605346,155057.38641605346,874.8016233774737,874.8016233774737,874.8016233774737,874.8016233774737,874.8016233774737,874.8016233774737,0.0,0.0,0.0,155932.18803943094,155932,153087,158833
2020-04-18,161847.6001897037,159550.64832360417,165408.89724778594,161847.6001897037,161847.6001897037,727.298797431415,727.298797431415,727.298797431415,727.298797431415,727.298797431415,727.298797431415,0.0,0.0,0.0,162574.8989871351,162574,159550,165408
2020-04-19,168637.81396335392,165490.6134143855,171329.37023496476,168637.81396335392,168637.81396335392,-165.7017247712709,-165.7017247712709,-165.7017247712709,-165.7017247712709,-165.7017247712709,-165.7017247712709,0.0,0.0,0.0,168472.11223858266,168472,165490,171329
2020-04-20,175428.02773700416,171768.12273010227,177470.6181293438,175428.02773700416,175428.02773700416,-905.3214847589744,-905.3214847589744,-905.3214847589744,-905.3214847589744,-905.3214847589744,-905.3214847589744,0.0,0.0,0.0,174522.70625224517,174522,171768,177470
2020-04-21,181499.36151364908,177818.4882557147,183732.6164880289,181499.36151364908,181499.36151364908,-728.2893533231704,-728.2893533231704,-728.2893533231704,-728.2893533231704,-728.2893533231704,-728.2893533231704,0.0,0.0,0.0,180771.07216032592,180771,177818,183732
2020-04-22,187570.69529029392,184356.3147644119,190458.0117344133,187570.69529029392,187570.69529029392,-191.37479910565733,-191.37479910565733,-191.37479910565733,-191.37479910565733,-191.37479910565733,-191.37479910565733,0.0,0.0,0.0,187379.32049118826,187379,184356,190458
